date,day,pm2.5,pm10,o3,no2,co,so2
2023-07-01,182,4.786969,8.710131,0.004502,3.335751,0.045441,0.152616
2023-07-02,183,2.822758,5.385666,0.004978,3.312785,0.045215,0.088014
2023-07-03,184,1.610077,3.815923,0.003853,2.768223,0.044135,0.066363
2023-07-04,185,1.885347,4.344417,0.003854,3.093077,0.049531,0.065330
2023-07-05,186,4.389652,7.688978,0.004510,3.011842,0.047916,0.136593
2023-07-06,187,5.431546,10.740970,0.004356,3.263315,0.050679,0.169092
2023-07-07,188,4.738133,9.718253,0.004393,3.010588,0.048445,0.151038
2023-07-08,189,4.298632,8.722689,0.004448,3.071670,0.049136,0.137542
2023-07-09,190,3.199617,5.813997,0.004280,2.887639,0.039376,0.110351
2023-07-10,191,1.085872,3.062314,0.004144,2.508560,0.050577,0.058584
2023-07-11,192,1.729413,3.859643,0.004815,2.792232,0.047509,0.078526
2023-07-12,193,3.895271,7.047313,0.005085,3.385382,0.044594,0.123844
2023-07-13,194,4.979831,8.153477,0.004128,3.296100,0.057265,0.158833
2023-07-14,195,4.339746,9.454080,0.004923,3.324700,0.049769,0.131659
2023-07-15,196,5.026204,9.817049,0.004804,3.502804,0.055811,0.150541
2023-07-16,197,2.845663,5.685810,0.004771,3.247778,0.050831,0.094795
2023-07-17,198,1.681292,3.712882,0.004379,2.500027,0.047121,0.068412
2023-07-18,199,1.812336,3.879604,0.004451,2.646745,0.054856,0.070482
2023-07-19,200,3.876749,7.272540,0.004701,2.730255,0.047055,0.124827
2023-07-20,201,5.705111,10.693933,0.005254,3.287576,0.052220,0.169962
2023-07-21,202,5.270041,8.940138,0.003757,3.467576,0.045656,0.165596
2023-07-22,203,4.191883,7.496712,0.004654,2.953197,0.046858,0.129398
2023-07-23,204,2.674267,5.398765,0.004541,2.981254,0.047328,0.101143
2023-07-24,205,1.329070,3.300665,0.004372,2.295056,0.045182,0.058367
2023-07-25,206,1.560394,3.486488,0.004435,2.534434,0.045015,0.070050
2023-07-26,207,3.134567,6.265626,0.004269,2.733540,0.043630,0.106040
2023-07-27,208,5.123671,9.243084,0.004541,2.865537,0.048483,0.161001
2023-07-28,209,4.780913,9.258836,0.004531,3.177438,0.048813,0.148438
2023-07-29,210,4.722800,8.750323,0.004232,3.328206,0.043458,0.141527
2023-07-30,211,3.503868,6.042757,0.004448,2.793807,0.051733,0.114982
2023-07-31,212,1.345679,3.387526,0.004065,2.210670,0.043168,0.065806
2023-08-01,213,1.874547,4.275094,0.003571,2.401088,0.040711,0.080048
2023-08-02,214,3.373115,6.015299,0.003947,3.092188,0.054902,0.115606
2023-08-03,215,4.598311,8.995688,0.004454,2.597186,0.051407,0.147791
2023-08-04,216,5.198209,10.053025,0.004947,3.079061,0.046774,0.159777
2023-08-05,217,4.249869,8.155602,0.004459,2.949728,0.054848,0.139824
2023-08-06,218,2.689236,5.195540,0.004188,2.721607,0.050013,0.088351
2023-08-07,219,1.569923,4.032083,0.004220,3.034871,0.051988,0.062400
2023-08-08,220,1.529717,3.718906,0.004265,2.287539,0.039315,0.059512
2023-08-09,221,3.772615,7.332705,0.005298,3.021304,0.047309,0.134191
2023-08-10,222,5.277059,9.168357,0.004342,3.145932,0.046806,0.160501
2023-08-11,223,5.074319,9.084502,0.004361,3.217807,0.046720,0.156210
2023-08-12,224,4.132536,7.537843,0.004337,2.999294,0.046763,0.121768
2023-08-13,225,3.404636,6.164932,0.004346,3.048923,0.041576,0.113748
2023-08-14,226,1.567254,3.769076,0.004590,2.327515,0.043105,0.067466
2023-08-15,227,2.092996,4.376151,0.004240,2.692571,0.044238,0.079976
2023-08-16,228,3.437299,6.289474,0.004663,2.680292,0.051958,0.111959
2023-08-17,229,3.831723,7.410856,0.004470,2.338350,0.049024,0.120098
2023-08-18,230,4.848507,8.384797,0.004074,3.105746,0.047312,0.149954
2023-08-19,231,4.534628,8.185348,0.004622,2.560970,0.044933,0.136996
2023-08-20,232,2.789174,5.732513,0.004188,2.550295,0.042631,0.093973
2023-08-21,233,1.551396,4.175453,0.004438,2.379711,0.042687,0.065979
2023-08-22,234,1.534231,3.433553,0.004455,2.366805,0.045865,0.064443
2023-08-23,235,3.249658,6.735860,0.004557,2.900005,0.047195,0.105094
2023-08-24,236,4.144394,7.904047,0.004238,3.477682,0.048527,0.129974
2023-08-25,237,4.193221,8.050505,0.004686,3.046567,0.049714,0.135529
2023-08-26,238,4.520559,8.683547,0.003997,3.116042,0.044625,0.144835
2023-08-27,239,2.986204,5.696202,0.004208,3.178200,0.047870,0.103571
2023-08-28,240,1.568623,3.741873,0.003881,2.637583,0.045224,0.069122
2023-08-29,241,1.833583,3.894654,0.004249,2.599304,0.043881,0.073796
2023-08-30,242,3.699704,6.542052,0.003606,2.677462,0.048462,0.115623
2023-08-31,243,4.546625,7.884844,0.004076,2.805239,0.043521,0.143023
